latitude,longitude,task_created_time,task_completed_time,amount,cod_received_status,task_assigned_to,task_status,flow,task_id,branch_destination,task_status_label,receiver_city,task_detail_status_label,task_detail_status,weight,branch_origin,task_status_id
-6.918373,109.7430474,2022-11-01 10:32:20 +0700,2022-11-01 12:57:40 +0700,52605,True,pacifiedLion0,done,Delivery,ef46d77de6e18062a7ee,SRG,Success,"BATANG ,KAB BATANG",YANG BERSANGKUTAN,D01,0.2,CGK,COLF01
-6.9127064,109.7447638,2022-11-01 10:32:21 +0700,2022-11-01 13:08:58 +0700,43615,True,pacifiedLion0,done,Delivery,f0a8186d51d00739a843,SRG,Success,"BATANG ,KAB BATANG",YANG BERSANGKUTAN,D01,0.1,CGK,COLF01
-6.9300818,109.7274887,2022-11-01 10:32:21 +0700,2022-11-01 19:55:23 +0700,27500,True,pacifiedLion0,done,Delivery,69751be0b08bee21689f,SRG,Success,"BATANG ,KAB BATANG",YANG BERSANGKUTAN,D01,0.3,CGK,COLF01
-6.9127064,109.7447638,2022-11-01 10:32:21 +0700,2022-11-01 13:08:58 +0700,35568,True,pacifiedLion0,done,Delivery,0314b783f37535e75297,SRG,Success,"BATANG ,KAB BATANG",YANG BERSANGKUTAN,D01,0.042,CGK,COLF01
-0.20245,100.6173417,2022-11-01 10:56:07 +0700,2022-11-01 11:31:02 +0700,243080,True,cautiousCoconut1,done,Delivery,8670734058b22f372ac4,PDG,Success,"GUGUK,SARILAMAK",YANG BERSANGKUTAN,D01,1,CGK,COLF01
-0.1347667,100.5217322,2022-11-01 10:56:07 +0700,2022-11-01 15:44:24 +0700,254000,True,cautiousCoconut1,done,Delivery,baf065352dcfe71f5c08,PDG,Success,"GUGUK,SARILAMAK",YANG BERSANGKUTAN,D01,1,CGK,COLF01
-0.107262,100.5436705,2022-11-01 10:56:05 +0700,2022-11-01 14:13:11 +0700,164500,True,cautiousCoconut1,done,Delivery,917e65ca46bda71c99a0,PDG,Success,"GUGUK,SARILAMAK",YANG BERSANGKUTAN,D01,1,JOG,COLF01
-0.1354534,100.5465114,2022-11-01 10:56:07 +0700,2022-11-01 16:28:27 +0700,204970,True,cautiousCoconut1,done,Delivery,98d573d6d783ecba1eb0,PDG,Success,"GUGUK,SARILAMAK",YANG BERSANGKUTAN,D01,1,CGK,COLF01
-0.120356,100.5244858,2022-11-01 10:56:06 +0700,2022-11-01 14:54:32 +0700,210000,True,cautiousCoconut1,done,Delivery,f79b959bc0150511ca27,PDG,Success,"GUGUK,SARILAMAK",YANG BERSANGKUTAN,D01,0.25,CGK,COLF01
-0.0944749,100.5372374,2022-11-01 10:56:06 +0700,2022-11-01 14:21:57 +0700,120000,True,cautiousCoconut1,done,Delivery,db9195f47e1414422b0e,PDG,Success,"GUGUK,SARILAMAK",YANG BERSANGKUTAN,D01,1,PDG,COLF01
