,date_start,date_stop,time_start,time_stop,latitude,longitude,amount,cod_received_status,task_status,flow,branch_destination,task_status_label,task_detail_status_label,task_detail_status,weight,branch_origin,task_status_id,task_assigned_to,task_id,receiver_city,delivery_time
18,2022-11-01,2022-11-01,11:33:41,16:18:54,-6.6246259,107.733458,265000.0,True,done,Delivery,PWT,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,holisticClam5,b848f81b2d7f01eb34aa,"SUBANG,KAB.SUBANG",285.21666666666664
19,2022-11-01,2022-11-01,12:00:22,19:20:28,-6.925801,109.728623,23900.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,0.15,CGK,COLF01,pacifiedLion0,43339b7d5478e55f4df3,"BATANG ,KAB BATANG",440.1
20,2022-11-01,2022-11-01,10:32:21,16:00:35,-6.9066197,109.722736,63921.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,0.5,CGK,COLF01,pacifiedLion0,fca6474de67a22064900,"BATANG ,KAB BATANG",328.23333333333335
21,2022-11-01,2022-11-01,10:51:20,15:23:51,-6.3590878,106.403966,135640.0,True,done,Delivery,CLG,Success,YANG BERSANGKUTAN,D01,1.77,CGK,COLF01,tautHeron6,1fc249c94ab8215ed2d3,"MAJA,RANGKASBITUNG",272.5166666666667
22,2022-11-01,2022-11-01,10:32:20,17:40:21,-6.909099,109.7359203,25410.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,0.3,CGK,COLF01,pacifiedLion0,eed8b110fc757380f271,"BATANG ,KAB BATANG",428.01666666666665
23,2022-11-01,2022-11-01,10:32:20,12:57:40,-6.918373,109.7430474,52605.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,0.2,CGK,COLF01,pacifiedLion0,ef46d77de6e18062a7ee,"BATANG ,KAB BATANG",145.33333333333334
24,2022-11-01,2022-11-01,10:32:21,13:08:58,-6.9127064,109.7447638,43615.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,0.1,CGK,COLF01,pacifiedLion0,f0a8186d51d00739a843,"BATANG ,KAB BATANG",156.61666666666667
25,2022-11-01,2022-11-01,10:32:21,19:55:23,-6.9300818,109.7274887,27500.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,0.3,CGK,COLF01,pacifiedLion0,69751be0b08bee21689f,"BATANG ,KAB BATANG",563.0333333333333
26,2022-11-01,2022-11-01,10:32:21,13:08:58,-6.9127064,109.7447638,35568.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,0.042,CGK,COLF01,pacifiedLion0,0314b783f37535e75297,"BATANG ,KAB BATANG",156.61666666666667
27,2022-11-01,2022-11-01,10:56:07,11:31:02,-0.20245,100.6173417,243080.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,cautiousCoconut1,8670734058b22f372ac4,"GUGUK,SARILAMAK",34.916666666666664
28,2022-11-01,2022-11-01,10:56:07,15:44:24,-0.1347667,100.5217322,254000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,cautiousCoconut1,baf065352dcfe71f5c08,"GUGUK,SARILAMAK",288.28333333333336
29,2022-11-01,2022-11-01,10:56:05,14:13:11,-0.107262,100.5436705,164500.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,JOG,COLF01,cautiousCoconut1,917e65ca46bda71c99a0,"GUGUK,SARILAMAK",197.1
30,2022-11-01,2022-11-01,10:56:07,16:28:27,-0.1354534,100.5465114,204970.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,cautiousCoconut1,98d573d6d783ecba1eb0,"GUGUK,SARILAMAK",332.3333333333333
31,2022-11-01,2022-11-01,10:56:06,14:54:32,-0.120356,100.5244858,210000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,0.25,CGK,COLF01,cautiousCoconut1,f79b959bc0150511ca27,"GUGUK,SARILAMAK",238.43333333333334
32,2022-11-01,2022-11-01,10:56:06,14:21:57,-0.0944749,100.5372374,120000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,PDG,COLF01,cautiousCoconut1,db9195f47e1414422b0e,"GUGUK,SARILAMAK",205.85
33,2022-11-01,2022-11-01,10:56:04,13:17:57,-0.1669174,100.579277,482000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,2.0,CGK,COLF01,cautiousCoconut1,afa69d9a3bd8dd99e2d4,"MUNGKA,SARILAMAK",141.88333333333333
34,2022-11-01,2022-11-01,10:56:04,12:19:23,-0.1489404,100.562095,169050.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,cautiousCoconut1,e1b8a18fc9edd4817e3d,PAYAKUMBUH,83.31666666666666
35,2022-11-01,2022-11-01,10:56:04,12:44:26,-0.1530287,100.5756253,113000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,JOG,COLF01,cautiousCoconut1,a1c0763af2ad277abb71,"GUGUK,SARILAMAK",108.36666666666666
36,2022-11-01,2022-11-01,10:56:07,15:56:59,-0.1338771,100.5444494,208000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,BDO,COLF01,cautiousCoconut1,c24973ee4717340f2954,"GUGUK,SARILAMAK",300.8666666666667
37,2022-11-01,2022-11-01,15:14:43,15:23:12,-6.3590878,106.403966,150000.0,True,done,Delivery,CLG,Success,YANG BERSANGKUTAN,D01,1.0,JOG,COLF01,tautHeron6,d12dbc13a8df39321a38,"CURUGBITUNG ,RANGKAS",8.483333333333334
38,2022-11-01,2022-11-01,15:14:43,15:23:33,-6.3590878,106.403966,111000.0,True,done,Delivery,CLG,Success,YANG BERSANGKUTAN,D01,0.8,CGK,COLF01,tautHeron6,f69df54589eaa9bb0fc9,"CURUGBITUNG ,RANGKAS",8.833333333333334
39,2022-11-01,2022-11-01,10:56:04,13:15:43,-0.1195932,100.5668303,35000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,MES,COLF01,cautiousCoconut1,e02e059d141aaec69bc1,"MUNGKA,SARILAMAK",139.65
40,2022-11-01,2022-11-01,10:56:04,12:04:34,-0.1650771,100.537481,235000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,cautiousCoconut1,7cd56e57a532bf883965,"GUGUK,SARILAMAK",68.5
41,2022-11-01,2022-11-01,10:56:04,12:21:23,-0.1489404,100.562095,192000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,cautiousCoconut1,de811b2f2494378dbbf0,"GUGUK,SARILAMAK",85.31666666666666
42,2022-11-01,2022-11-01,10:56:07,15:12:47,-0.136384,100.5264265,223000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,cautiousCoconut1,c3e8fd79f6dfaad8b248,"GUGUK,SARILAMAK",256.6666666666667
43,2022-11-01,2022-11-01,10:56:05,14:07:52,-0.107262,100.5436705,164000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,cautiousCoconut1,0a928b58af04adc831e2,"GUGUK,SARILAMAK",191.78333333333333
44,2022-11-01,2022-11-01,10:56:04,13:11:16,-0.1258288,100.5723361,279000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,cautiousCoconut1,82f3e3482faf57d8fd00,"MUNGKA,SARILAMAK",135.20000000000002
45,2022-11-01,2022-11-01,10:56:05,13:52:20,-0.1136192,100.5559926,135000.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,cautiousCoconut1,7b25c424056c513a304c,"MUNGKA,SARILAMAK",176.25
