date_start,date_stop,time_start,time_stop,latitude,longitude,amount,cod_received_status,task_status,flow,branch_destination,task_status_label,task_detail_status_label,task_detail_status,weight,branch_origin,task_status_id,task_created_time,task_completed_time,task_assigned_to,task_id,receiver_city
2022-11-01,2022-11-01,11:33:41,16:18:54,-6.6246259,107.733458,265000.0,True,done,Delivery,PWT,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,2022-11-01 11:33:41 +0700,2022-11-01 16:18:54 +0700,holisticClam5,b848f81b2d7f01eb34aa,"SUBANG,KAB.SUBANG"
2022-11-01,2022-11-01,12:00:22,19:20:28,-6.925801,109.728623,23900.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,0.15,CGK,COLF01,2022-11-01 12:00:22 +0700,2022-11-01 19:20:28 +0700,pacifiedLion0,43339b7d5478e55f4df3,"BATANG ,KAB BATANG"
2022-11-01,2022-11-01,10:32:21,16:00:35,-6.9066197,109.722736,63921.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,0.5,CGK,COLF01,2022-11-01 10:32:21 +0700,2022-11-01 16:00:35 +0700,pacifiedLion0,fca6474de67a22064900,"BATANG ,KAB BATANG"
2022-11-01,2022-11-01,10:51:20,15:23:51,-6.3590878,106.403966,135640.0,True,done,Delivery,CLG,Success,YANG BERSANGKUTAN,D01,1.77,CGK,COLF01,2022-11-01 10:51:20 +0700,2022-11-01 15:23:51 +0700,tautHeron6,1fc249c94ab8215ed2d3,"MAJA,RANGKASBITUNG"
2022-11-01,2022-11-01,10:32:20,17:40:21,-6.909099,109.7359203,25410.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,0.3,CGK,COLF01,2022-11-01 10:32:20 +0700,2022-11-01 17:40:21 +0700,pacifiedLion0,eed8b110fc757380f271,"BATANG ,KAB BATANG"
2022-11-01,2022-11-01,10:32:20,12:57:40,-6.918373,109.7430474,52605.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,0.2,CGK,COLF01,2022-11-01 10:32:20 +0700,2022-11-01 12:57:40 +0700,pacifiedLion0,ef46d77de6e18062a7ee,"BATANG ,KAB BATANG"
2022-11-01,2022-11-01,10:32:21,13:08:58,-6.9127064,109.7447638,43615.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,0.1,CGK,COLF01,2022-11-01 10:32:21 +0700,2022-11-01 13:08:58 +0700,pacifiedLion0,f0a8186d51d00739a843,"BATANG ,KAB BATANG"
2022-11-01,2022-11-01,10:32:21,19:55:23,-6.9300818,109.7274887,27500.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,0.3,CGK,COLF01,2022-11-01 10:32:21 +0700,2022-11-01 19:55:23 +0700,pacifiedLion0,69751be0b08bee21689f,"BATANG ,KAB BATANG"
2022-11-01,2022-11-01,10:32:21,13:08:58,-6.9127064,109.7447638,35568.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,0.042,CGK,COLF01,2022-11-01 10:32:21 +0700,2022-11-01 13:08:58 +0700,pacifiedLion0,0314b783f37535e75297,"BATANG ,KAB BATANG"
2022-11-01,2022-11-01,10:56:07,11:31:02,-0.20245,100.6173417,243080.0,True,done,Delivery,PDG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,2022-11-01 10:56:07 +0700,2022-11-01 11:31:02 +0700,cautiousCoconut1,8670734058b22f372ac4,"GUGUK,SARILAMAK"
