,date_start,time_start,time_stop,branch_destination,task_detail_status,weight,branch_origin,task_status_id,task_assigned_to,task_id,receiver_city,delivery_time,amount_prediction
552,2022-11-02,07:25:32,07:49:18,28.0,D09,13.0,14.0,COLF01,ashamedHare6,9d65d6a59bd3301ac4b2,"RAWAS ILIR,MUARA BEL",23.766666666666666,809349.9919282572
553,2022-11-02,07:25:32,07:49:18,28.0,D09,4.89,0.0,COLF01,ashamedHare6,c528f5b9f09048b3aebb,"RAWAS ILIR,MUARA BEL",23.766666666666666,403585.2767611739
557,2022-11-02,07:50:15,07:50:49,54.0,D01,1.0,0.0,COLF01,ferventMallard8,ad6926f1e98a3a683c6e,"TEBET,JAKARTA SELATA",0.5666666666666667,154038.9243539633
558,2022-11-02,07:41:24,07:50:46,0.0,U12,2.25,0.0,COLF02,spiritedPepper1,06dd41824c590fb15789,"SAYUNG,DEMAK",9.366666666666667,93754.0891202848
559,2022-11-02,07:20:54,07:51:00,43.0,D09,30.0,0.0,COLF01,needyAntelope5,5543a2d6e52be6bf3240,"SUKOMORO,KAB. NGANJU",30.1,1616200.100480124
560,2022-11-02,07:39:30,07:51:04,54.0,D07,7.0,0.0,COLF01,mereSheep3,0223b0a36ab3e78df9fe,"SETIABUDI ,JAKARTA S",11.566666666666666,207926.311343458
561,2022-11-02,07:03:57,07:51:04,49.0,D01,1.0,0.0,COLF01,sadEland9,b3dd2c64d0c6760dd6e9,"TERNATE SELATAN,TERN",47.11666666666667,237599.29621962315
562,2022-11-02,07:15:33,07:51:03,54.0,D04,1.0,0.0,COLF01,jumpyCockatoo6,8bfae78bf54f3292b7d9,"KEMAYORAN ,JAKARTA P",35.5,193119.7860054439
563,2022-11-02,07:47:58,07:51:00,28.0,D01,5.0,0.0,COLF01,ashamedHare6,ca258562fa84a91b2ec6,"RUPIT,MUSI RAWAS",3.033333333333333,385273.9945841503
564,2022-11-02,07:47:58,07:51:00,28.0,D01,1.0,0.0,COLF01,ashamedHare6,096116959ed9d585074a,SUMATERA SELATAN,3.033333333333333,203165.8890229119
565,2022-11-02,07:47:58,07:51:00,28.0,D01,20.0,21.0,COLF01,ashamedHare6,c94a4a3e5cf77916efbe,"RUPIT,MUSI RAWAS",3.033333333333333,2072364.2551735693
566,2022-11-02,07:19:07,07:51:07,49.0,D10,2.0,0.0,COLF01,enviousIguana0,fd9a26531709aab357db,"TERNATE TENGAH,TERNA",32.00000000000001,249395.9367869532
567,2022-11-02,07:39:30,07:52:49,54.0,D11,1.0,0.0,COLF01,mereSheep3,a1fda2cd301fa04b1f14,"SETIABUDI ,JAKARTA S",13.316666666666666,199744.38555024922
568,2022-11-02,07:13:00,07:52:53,39.0,D01,6.0,0.0,COLF01,artisticOil2,707dfc46d69c55dab9c8,"DENPASAR SELATAN,DEN",39.88333333333333,235424.01821870133
570,2022-11-02,07:23:17,07:52:52,23.0,D01,1.25,0.0,COLF01,morbidFlamingo7,93b8bb488fabddaa3c55,"BALIKPAPAN TENGAH, B",29.583333333333332,254681.04432692073
571,2022-11-02,07:32:34,07:52:51,34.0,U12,1.5,0.0,COLF02,needfulLemur4,8c3c2366b0da62c25ac4,"GERUNGGANG,PANGKALPI",20.283333333333335,183181.12857150452
572,2022-11-02,07:32:34,07:52:51,34.0,U12,0.5,0.0,COLF02,needfulLemur4,e8221b3f3b9eb0ba23de,"GERUNGGANG,PANGKALPI",20.283333333333335,89050.49785505023
573,2022-11-02,07:01:39,07:53:40,54.0,D09,5.0,0.0,COLF01,mildBoa2,b502c351b99acef2d1d6,"TEBET,JAKARTA SELATA",52.016666666666666,205679.84386645776
574,2022-11-02,07:21:29,07:53:41,28.0,D01,7.25,0.0,COLF01,sheepishCrackers4,35b2552ebb77dea8cc87,"MUARAENIM,KAB.MUARAE",32.2,298466.38026042853
575,2022-11-02,07:14:02,07:53:42,33.0,D01,1.0,0.0,COLF01,peskyHeron1,d697c9ff2e63d2da86f2,BANJARMASIN SELATAN,39.666666666666664,198314.33387628422
576,2022-11-02,07:01:39,07:53:40,54.0,D09,11.0,0.0,COLF01,mildBoa2,ce59c85514eef43c612a,"TEBET,JAKARTA SELATA",52.016666666666666,181894.3405639856
577,2022-11-02,07:01:39,07:53:40,54.0,D09,11.0,0.0,COLF01,mildBoa2,24c4f4d57fbdbaa5a1ba,"TEBET,JAKARTA SELATA",52.016666666666666,181894.3405639856
578,2022-11-02,07:22:27,07:53:43,41.0,D10,11.0,19.0,COLF01,pridefulDingo9,062682807ebb53e27c71,"WOLIO,BAU-BAU",31.26666666666667,287586.36094386387
579,2022-11-02,07:01:39,07:53:40,54.0,D09,11.0,0.0,COLF01,mildBoa2,cf9dcfc519d2abb8fc29,"TEBET,JAKARTA SELATA",52.016666666666666,181894.3405639856
588,2022-11-02,07:19:07,07:54:11,49.0,D10,4.0,7.0,COLF01,enviousIguana0,dd531dc3c0dd8390f230,"TERNATE TENGAH,TERNA",35.06666666666667,244509.8434959159
589,2022-11-02,07:02:19,07:54:13,39.0,D10,4.12,0.0,COLF01,jealousPoultry6,26bf6ae8003aa3a7cf60,"DENPASAR BARAT,DENPA",51.9,301022.9704454801
590,2022-11-02,07:52:55,07:54:14,50.0,D11,1.0,1.0,COLF01,enragedMacaw7,b6319b36ba306f7803d0,PANTAI LUNCI KAB.SUK,1.3166666666666667,213670.03557143753
591,2022-11-02,07:31:16,07:54:14,38.0,D01,0.55,0.0,COLF01,solidMandrill3,e300c5d99314f8dffb4c,"SANDUBAYA,MATARAM",22.966666666666665,141545.27498629017
592,2022-11-02,07:23:18,07:54:15,23.0,D01,1.0,0.0,COLF01,morbidFlamingo7,7fab9e4f5a7fb44c167d,"BALIKPAPAN TENGAH, B",30.950000000000003,208203.8432094186
593,2022-11-02,07:41:25,07:48:49,39.0,U12,1.0,0.0,COLF02,betrayedFalcon8,d55ea7fac23531d9bbdb,"KUTA SELATAN,BADUNG",7.4,193106.8943717062
594,2022-11-02,07:31:16,07:50:55,38.0,D02,1.64,0.0,COLF01,solidMandrill3,d10434340dcd12723b7f,MATARAM,19.65,229395.18842802756
595,2022-11-02,07:02:08,07:51:01,20.0,D01,1.0,19.0,COLF01,sorePear1,e86d400d9fcbcdbf8df6,"KUNINGAN, KAB KUNING",48.88333333333333,182039.37106192292
596,2022-11-02,07:50:33,07:50:58,35.0,D01,11.0,0.0,COLF01,excludedSeahorse5,7946f90266b429946ca0,"PARUNG,KAB.BOGOR",0.4166666666666667,150461.7278924377
597,2022-11-02,07:14:46,07:51:00,8.0,D10,0.3,0.0,COLF01,jubilantPepper8,b3b7f6865dcc73f02a04,"TAROGONG KALER,GARUT",36.233333333333334,45598.58272829159
598,2022-11-02,07:12:33,07:50:54,54.0,D09,6.3,0.0,COLF01,pacifiedUnicorn4,aaced4c3b744acb2f7b9,"JAGAKARSA ,JAKARTA S",38.35,178962.314540336
599,2022-11-02,07:50:24,07:51:37,28.0,U12,2.0,0.0,COLF02,drearyPepper9,9e551fdece96cf3dbf1c,"PLAJU,PALEMBANG",1.2166666666666666,163406.51263289963
600,2022-11-02,07:50:24,07:51:37,28.0,U12,1.0,0.0,COLF02,drearyPepper9,e9b5c110774d0c4ebaa0,"SEBERANG ULU I, PALE",1.2166666666666666,193436.20609826586
601,2022-11-02,07:45:55,07:51:35,39.0,U12,1.0,0.0,COLF02,debonairRhino7,e1a87d4d38a2d73fad13,BADUNG,5.666666666666667,228375.034315539
602,2022-11-02,07:45:54,07:51:35,39.0,U12,1.0,0.0,COLF02,debonairRhino7,a748f8e2beea9b03987d,NUSA DUA,5.683333333333334,228375.034315539
603,2022-11-02,07:50:24,07:51:37,28.0,U12,1.0,0.0,COLF02,drearyPepper9,d8fae27f339cc481883a,"SEBERANG ULU I, PALE",1.2166666666666666,193436.20609826586
604,2022-11-02,07:45:54,07:51:35,39.0,U12,1.0,0.0,COLF02,debonairRhino7,ed2247b701722647e12c,JL BY PASS NGR RAI 1,5.683333333333334,228375.034315539
605,2022-11-02,07:50:24,07:51:37,28.0,U12,1.0,0.0,COLF02,drearyPepper9,5f65da66c47f35ce7186,PALEMBANG,1.2166666666666666,193436.20609826586
606,2022-11-02,07:50:23,07:51:37,28.0,U12,1.0,0.0,COLF02,drearyPepper9,df2b20d937b82560e01c,"SEBERANG ULU I, PALE",1.2333333333333334,193436.20609826586
607,2022-11-02,07:45:55,07:51:35,39.0,U12,1.0,0.0,COLF02,debonairRhino7,06b61071c54308310e14,BANDUNG,5.666666666666667,228375.034315539
608,2022-11-02,07:50:24,07:51:37,28.0,U12,1.0,7.0,COLF02,drearyPepper9,a5d743bde5ddb3ac97db,"SEBERANG ULU I, PALE",1.2166666666666666,185653.37968122368
609,2022-11-02,07:50:24,07:51:37,28.0,U12,1.0,23.0,COLF02,drearyPepper9,21bd3949727d53048c3d,"SEBERANG ULU I, PALE",1.2166666666666666,284459.7292494881
610,2022-11-02,07:50:24,07:51:37,28.0,U12,1.0,17.0,COLF02,drearyPepper9,9406b535af9a86f253d2,"SEBERANG ULU I, PALE",1.2166666666666666,110868.77362137861
611,2022-11-02,07:15:07,07:53:02,39.0,D06,0.3,0.0,COLF01,sheepishGnu5,17d06fb9cd1b0de6fe1b,"DENPASAR SELATAN,DEN",37.916666666666664,128218.24316144116
612,2022-11-02,07:18:18,07:53:05,35.0,D06,2.7,0.0,COLF01,sincereWhiting9,3f874cf38df45fc1693a,"BOGOR UTARA, BOGOR",34.78333333333333,139456.26360265142
614,2022-11-02,07:51:28,07:54:19,42.0,D01,26.5,0.0,COLF01,euphoricBobolink9,d349b649ca5779b87c08,"PANAKKUKANG,MAKASSAR",2.85,1697826.135311879
615,2022-11-03,07:24:28,07:46:52,33.0,D01,0.75,0.0,COLF01,peskyHeron1,77531cd4b5cc11185885,BANJARMASIN SELATAN,22.4,154064.55815411708
616,2022-11-03,07:46:14,07:47:28,18.0,U05,1.0,17.0,COLF02,obsessedCurlew4,d487dc2ecc345abd67d8,"KLOJEN,MALANG",1.2333333333333334,129128.23793956601
617,2022-11-03,07:44:49,07:47:21,19.0,CR6,0.96,0.0,COLF02,gutturalLion9,8d08daf10e12fb0ad070,"SUNGAI RAYA,KUBU RAY",2.533333333333333,200345.3510325191
618,2022-11-03,07:44:49,07:47:21,19.0,CR6,0.38,0.0,COLF02,gutturalLion9,9eb048c3750f41a5ef12,"SUNGAI RAYA,KUBU RAY",2.533333333333333,93073.42552922525
619,2022-11-03,07:44:49,07:47:21,19.0,CR6,1.5,0.0,COLF02,gutturalLion9,60a02e158f674a250977,"PONTIANAK TENGGARA ,",2.533333333333333,176894.50864638397
620,2022-11-03,07:44:50,07:47:21,19.0,CR6,1.0,12.0,COLF02,gutturalLion9,001a44d0bf2a5e28e9cb,PONTIANAK,2.5166666666666666,162522.50100478524
621,2022-11-03,07:44:50,07:47:21,19.0,CR6,1.3,1.0,COLF02,gutturalLion9,1f960b7394eeab5d7235,"SUNGAI RAYA,KUBU RAY",2.5166666666666666,192919.59456121255
622,2022-11-03,07:44:50,07:47:21,19.0,CR6,1.0,5.0,COLF02,gutturalLion9,a3ee932cdd0f7f60e7e0,"SUNGAI RAYA,KUBU RAY",2.5166666666666666,186655.28985698763
623,2022-11-03,07:44:50,07:47:21,19.0,CR6,1.0,5.0,COLF02,gutturalLion9,d44b486a97fad7275278,"PONTIANAK TENGGARA ,",2.5166666666666666,170669.91981618863
624,2022-11-03,07:44:50,07:47:21,19.0,CR6,1.0,6.0,COLF02,gutturalLion9,286e0df29e1c2bdd452d,"SUNGAI RAYA,KUBU RAY",2.5166666666666666,186655.28985698763
625,2022-11-03,07:44:50,07:47:21,19.0,CR6,1.0,0.0,COLF02,gutturalLion9,17982930f76c83dc40a8,"SUNGAI RAYA,KUBU RAY",2.5166666666666666,200345.3510325191
626,2022-11-03,07:44:50,07:47:21,19.0,CR6,1.0,23.0,COLF02,gutturalLion9,0d6acf5b2ce24c51b64c,"PONTIANAK TENGGARA ,",2.5166666666666666,232488.97864573455
627,2022-11-03,07:44:50,07:47:21,19.0,CR6,1.0,19.0,COLF02,gutturalLion9,d12ccc385b5a30370958,"SUNGAI RAYA,KUBU RAY",2.5166666666666666,193604.40828213544
628,2022-11-03,07:44:50,07:47:21,19.0,CR6,1.0,6.0,COLF02,gutturalLion9,e0f8b37b8d964e673875,"PONTIANAK TENGGARA ,",2.5166666666666666,170669.91981618863
629,2022-11-03,07:44:50,07:47:21,19.0,CR6,1.0,0.0,COLF02,gutturalLion9,590f1db303b156383e10,PONTIANAK,2.5166666666666666,186265.98372045276
630,2022-11-03,07:44:50,07:47:21,19.0,CR6,0.7,3.0,COLF02,gutturalLion9,6cdf1f555f1cea1e7f25,"SUNGAI RAYA,KUBU RAY",2.5166666666666666,107795.98706849125
631,2022-11-03,07:20:07,07:49:37,54.0,D09,6.0,0.0,COLF01,gloomyMallard5,14537503ed705ce3f5b1,"TEBET,JAKARTA SELATA",29.5,199239.60393200014
632,2022-11-03,07:44:49,07:47:21,19.0,CR6,0.4,0.0,COLF02,gutturalLion9,df733cac1ae6f3fbc230,"SUNGAI RAYA,KUBU RAY",2.533333333333333,93073.42552922525
633,2022-11-03,07:46:14,07:47:28,18.0,U05,1.0,17.0,COLF02,obsessedCurlew4,d36eaf793c83ff550b9b,"KLOJEN,MALANG",1.2333333333333334,129128.23793956601
635,2022-11-03,07:44:49,07:47:21,19.0,CR6,0.48,0.0,COLF02,gutturalLion9,1b8e0f92e1ab81bd6974,"SUNGAI RAYA,KUBU RAY",2.533333333333333,97370.82342206337
636,2022-11-03,07:44:49,07:47:21,19.0,CR6,0.15,0.0,COLF02,gutturalLion9,abd522df5ba47c4b5a44,"SUNGAI RAYA,KUBU RAY",2.533333333333333,69417.07903560932
637,2022-11-03,07:44:49,07:47:21,19.0,CR6,0.6,0.0,COLF02,gutturalLion9,ae802c43697ddd73af6f,"PONTIANAK TENGGARA ,",2.533333333333333,158995.06747278073
638,2022-11-03,07:44:49,07:47:21,19.0,CR6,0.36,0.0,COLF02,gutturalLion9,c09ac4ea6589355ecf57,"SUNGAI RAYA,KUBU RAY",2.533333333333333,93073.42552922525
639,2022-11-03,07:44:49,07:47:21,19.0,CR6,0.01,0.0,COLF02,gutturalLion9,2fd6df853f43b57e26bb,"PONTIANAK KOTA , PON",2.533333333333333,1490295.0796588394
640,2022-11-03,07:44:49,07:47:21,19.0,CR6,0.3,0.0,COLF02,gutturalLion9,e56fb877ffbd2738e3ca,"PONTIANAK KOTA , PON",2.533333333333333,188378.42445932567
641,2022-11-03,07:29:47,07:48:01,54.0,D04,5.0,23.0,COLF01,mildBoa2,97183c15d8b08cfbca68,"TEBET,JAKARTA SELATA",18.233333333333334,315204.9670445524
642,2022-11-03,07:44:49,07:47:21,19.0,CR6,0.4,0.0,COLF02,gutturalLion9,5c62b0032cee4f12847f,"SUNGAI RAYA,KUBU RAY",2.533333333333333,93073.42552922525
643,2022-11-03,07:44:49,07:47:21,19.0,CR6,2.0,0.0,COLF02,gutturalLion9,040662ec59e5d8b1d1dc,"PONTIANAK TENGGARA ,",2.533333333333333,233632.03323531477
644,2022-11-03,07:44:49,07:47:21,19.0,CR6,0.5,0.0,COLF02,gutturalLion9,bf4a46b7b3584b040361,"SUNGAI RAYA,KUBU RAY",2.533333333333333,97370.82342206337
645,2022-11-03,07:44:49,07:47:21,19.0,CR6,0.5,0.0,COLF02,gutturalLion9,3962a503dbb705bdda06,"PONTIANAK TENGGARA ,",2.533333333333333,157449.43937936172
646,2022-11-03,07:44:49,07:47:21,19.0,CR6,1.12,0.0,COLF02,gutturalLion9,5f9b274eae90bc431941,"SUNGAI RAYA,KUBU RAY",2.533333333333333,197746.48912970597
647,2022-11-03,07:46:54,07:47:58,28.0,D01,3.6,0.0,COLF01,emptyCow4,738a0fceeb959b61c8d1,LAWANG KIDUL - TJ.EN,1.0666666666666667,199347.16938265626
648,2022-11-03,07:44:49,07:47:21,19.0,CR6,1.2,0.0,COLF02,gutturalLion9,815913f3438c94e29f1d,"PONTIANAK TENGGARA ,",2.533333333333333,176894.50864638397
649,2022-11-03,07:44:50,07:47:21,19.0,CR6,1.0,0.0,COLF02,gutturalLion9,59aa4a16705edf18580c,"SUNGAI RAYA,KUBU RAY",2.5166666666666666,200345.3510325191
650,2022-11-03,07:05:26,07:48:31,34.0,U12,1.0,0.0,COLF02,cautiousSardines1,9b0f5feff4cbf3cd13e4,"TAMAN SARI,PANGKAL P",43.083333333333336,198314.33387628422
651,2022-11-03,07:44:50,07:47:21,19.0,CR6,1.0,0.0,COLF02,gutturalLion9,29d2e72cbc44f7e8fe0f,"PONTIANAK TENGGARA ,",2.5166666666666666,179219.32564496237
652,2022-11-03,07:05:26,07:48:31,34.0,U12,0.6,0.0,COLF02,cautiousSardines1,67a596e7e794f3276173,"TAMAN SARI,PANGKAL P",43.083333333333336,94359.16623063596
653,2022-11-03,07:44:50,07:47:21,19.0,CR6,1.0,0.0,COLF02,gutturalLion9,b4d7ecef6f9cc57739bb,"PONTIANAK TENGGARA ,",2.5166666666666666,179219.32564496237
654,2022-11-03,07:09:43,07:48:31,34.0,U12,0.3,0.0,COLF02,cautiousSardines1,eaaed84875f6a028cfce,"GERUNGGANG,PANGKALPI",38.8,86768.63976714469
656,2022-11-03,07:44:50,07:47:21,19.0,CR6,1.0,0.0,COLF02,gutturalLion9,2155256ffe76f9054fa9,"PONTIANAK TENGGARA ,",2.5166666666666666,179219.32564496237
657,2022-11-03,07:44:50,07:47:21,19.0,CR6,1.0,0.0,COLF02,gutturalLion9,4e6f504ac050cf1177fe,"PONTIANAK TENGGARA ,",2.5166666666666666,179219.32564496237
658,2022-11-03,07:44:50,07:47:21,19.0,CR6,2.0,3.0,COLF02,gutturalLion9,a4420d1efa4137f9506c,"PONTIANAK KOTA , PON",2.5166666666666666,218347.66875104737
659,2022-11-03,07:44:50,07:47:21,19.0,CR6,1.0,3.0,COLF02,gutturalLion9,b833235f0b608519c584,"PONTIANAK TENGGARA ,",2.5166666666666666,178716.03068518042
660,2022-11-03,07:44:50,07:47:21,19.0,CR6,1.0,0.0,COLF02,gutturalLion9,d5a1079b14ada34da983,SUNGAI RAYA,2.5166666666666666,186265.98372045276
661,2022-11-03,07:44:50,07:47:21,19.0,CR6,1.0,0.0,COLF02,gutturalLion9,c5a38718aca66b51c5de,"PONTIANAK TENGGARA ,",2.5166666666666666,179219.32564496237
662,2022-11-03,07:44:50,07:47:21,19.0,CR6,1.0,0.0,COLF02,gutturalLion9,d492bc1b106cff6d94ee,"PONTIANAK TENGGARA ,",2.5166666666666666,179219.32564496237
664,2022-11-03,07:39:12,07:49:17,27.0,D01,6.43,0.0,COLF01,peskyTeal5,7ca154a0f324806abd9e,"BOAWAE,MBAY",10.083333333333334,797405.0953783573
665,2022-11-03,07:16:38,07:49:21,20.0,D01,1.0,0.0,COLF01,adoringSnipe1,8fd1af421c4269c91a7c,"KADUGEDE,KUNINGAN",32.71666666666667,286219.7656170551
666,2022-11-03,07:45:04,07:49:53,28.0,U12,2.0,0.0,COLF02,empathicBuzzard1,797b5865c42bc2b163ae,"ILIR TIMUR I, PALEMB",4.816666666666666,301966.15241125866
667,2022-11-03,07:45:04,07:49:53,28.0,U12,1.0,3.0,COLF02,empathicBuzzard1,2626e16562c3d9bc04b6,"BUKIT KECIL,PALEMBAN",4.816666666666666,40238.03322483122
668,2022-11-03,07:45:04,07:49:53,28.0,U12,1.0,7.0,COLF02,empathicBuzzard1,f35a98957dcff0dfac3e,"ILIR TIMUR I, PALEMB",4.816666666666666,211995.41719837286
669,2022-11-03,07:24:29,07:49:57,28.0,D01,4.69,0.0,COLF01,innocentSalami6,3f1cb178eeb2b30b118e,"MUARAENIM,KAB.MUARAE",25.466666666666665,403585.2767611739
671,2022-11-03,07:45:04,07:49:53,28.0,U12,2.0,0.0,COLF02,empathicBuzzard1,12723770569ba903d992,"ILIR TIMUR I, PALEMB",4.816666666666666,301966.15241125866
672,2022-11-03,07:46:54,07:50:00,28.0,D09,10.0,0.0,COLF01,emptyCow4,8b4f310c0a028b4976f6,LAWANG KIDUL - TJ.EN,3.1,287747.8407684703
673,2022-11-03,07:22:34,07:49:56,7.0,CR6,2.0,4.0,COLF02,somberSheep8,62769eb0860c556b81c3,"MARPOYAN DAMAI, PEKA",27.366666666666667,96047.95626869488
674,2022-11-03,07:45:04,07:49:53,28.0,U12,3.0,0.0,COLF02,empathicBuzzard1,458cd364302e4b013f9b,"ILIR TIMUR I, PALEMB",4.816666666666666,310936.4883644597
675,2022-11-03,07:29:34,07:50:53,23.0,D01,0.62,0.0,COLF01,morbidFlamingo7,e9c4ef7a4773094665a5,"BALIKPAPAN TENGAH, B",21.316666666666666,111755.38058859053
676,2022-11-03,07:29:34,07:50:53,23.0,D01,0.66,0.0,COLF01,morbidFlamingo7,d2f85a330fd04f63334d,"BALIKPAPAN TENGAH, B",21.316666666666666,121246.31999812493
677,2022-11-03,07:31:58,08:07:17,29.0,D01,1.0,7.0,COLF01,innocentGranola1,d6258f367988ead74dba,"SAMBENG,LAMONGAN",35.31666666666667,191114.9043267505
678,2022-11-03,07:42:42,08:09:21,38.0,D01,0.05,0.0,COLF01,shySmelt7,f21d4eac04aaa9beabdc,"TANJUNG, GERUNG",26.65,49435.077429962614
679,2022-11-03,07:46:27,08:09:16,41.0,D09,1.0,0.0,COLF01,offendedLemur2,42b8cb69448144586685,"KULISUSU,RAHA",22.816666666666666,171635.26069269603
680,2022-11-03,07:05:35,08:09:23,43.0,D09,1.0,24.0,COLF01,lovesickToucan8,259589e81341929b434b,"JOMBANG,KAB. JOMBANG",63.800000000000004,3079899.9873970705
681,2022-11-03,07:41:58,08:09:34,54.0,U05,1.0,0.0,COLF02,stressedPonie9,c3af5d2c9a23a7faf55b,"CENGKARENG ,JAKARTA",27.6,193842.12601158005
682,2022-11-03,07:50:47,08:09:15,18.0,U05,1.0,3.0,COLF02,wearyDunbird7,9a68e68be88ea62f4845,"KLOJEN,MALANG",18.466666666666665,234534.0131157056
683,2022-11-03,08:05:42,08:09:36,13.0,U12,0.1,0.0,COLF02,thriftyTuna5,9cc46841481160f9086f,"CIMANGGU,CILACAP",3.9000000000000004,46605.104189766214
684,2022-11-03,07:50:47,08:09:15,18.0,U05,1.0,7.0,COLF02,wearyDunbird7,ccc7fbbbcf3176b139dc,"LOWOKWARU,MALANG",18.466666666666665,156536.49732895716
685,2022-11-03,07:50:39,08:09:38,38.0,D01,28.0,0.0,COLF01,boastfulCordial5,2c03206725b7b96b6d14,"MPUNDA,BIMA",18.983333333333334,1235748.5314657623
686,2022-11-03,07:50:47,08:09:15,18.0,U05,1.0,0.0,COLF02,wearyDunbird7,85bf53726ca2fef4a5f8,"LOWOKWARU,MALANG",18.466666666666665,164377.9145167156
687,2022-11-03,07:22:28,07:39:31,27.0,D01,0.665,0.0,COLF01,resolvedCheetah9,5aaaf23af6d2ed33b79c,"ALOK,MAUMERE",17.05,169786.93986999255
688,2022-11-03,07:34:04,08:09:48,26.0,D01,1.0,0.0,COLF01,outlyingBittern1,115787c7bd6a20af6719,"SANGKUB,BOROKO",35.733333333333334,209076.20441562787
689,2022-11-03,07:22:28,08:07:02,27.0,D10,1.0,0.0,COLF01,resolvedCheetah9,5e14eebcb627f1004339,"ALOK,MAUMERE",44.56666666666667,247554.3580620194
690,2022-11-03,07:35:07,08:09:47,48.0,D01,1.75,0.0,COLF01,eagerSmelt1,4160172156da956b0f30,KARANG TENGAH KOTATA,34.666666666666664,181962.7179158754
691,2022-11-03,07:13:46,08:09:42,27.0,D01,1.25,0.0,COLF01,somberLollies2,efeefb4df78960f32341,"MAULAFA,KUPANG",55.93333333333333,242919.92263355173
692,2022-11-03,07:12:46,08:09:45,30.0,D01,0.001,0.0,COLF01,artisticRice0,f5f8d7853ba2f0c01e13,"WOUMA,JAYAWIJAYA",56.983333333333334,88991.33120346437
693,2022-11-03,07:22:28,08:00:18,27.0,D01,3.6,0.0,COLF01,resolvedCheetah9,a9ee80ccf6eba5f89207,"ALOK,MAUMERE",37.833333333333336,819514.876793391
694,2022-11-03,07:48:08,08:11:01,0.0,D09,1.0,0.0,COLF01,ashamedLapwing6,c7d6494393c951305468,"PURWODADI,KAB.GROBOG",22.883333333333333,129959.87565695061
698,2022-11-03,07:58:09,08:11:03,54.0,D01,0.01,0.0,COLF01,scornfulWigeon8,11bb3c09e62833e29157,"KEMAYORAN ,JAKARTA P",12.9,36643.037159483465
699,2022-11-03,07:34:29,08:11:02,27.0,D01,1.0,3.0,COLF01,vengefulLollies9,d9372fac47180d3bef07,"LANGKE REMBONG,RUTEN",36.55,208489.0634947811
700,2022-11-03,07:29:23,08:11:01,54.0,D04,1.0,25.0,COLF01,kindBoa9,d033e19227ea5e378ec4,"KEMBANGAN ,JAKARTA B",41.63333333333333,294319.69912627555
701,2022-11-03,07:39:40,08:10:59,45.0,D01,1.0,7.0,COLF01,jumpyWigeon6,20c9ec404be90ca54e2f,"PURWOREJO, PASURUAN",31.31666666666667,78579.74564129519
702,2022-11-03,07:52:20,08:11:11,19.0,D04,1.3,10.0,COLF01,solemnPudding8,8b70808110f0212fd41c,"SAMBAS, KAB SAMBAS",18.85,156327.42304478583
703,2022-11-03,07:16:51,08:11:13,48.0,D09,3.0,11.0,COLF01,murkyCow4,eb20a75718346072a181,"NEGLASARI , TANGERAN",54.36666666666667,240942.15376996936
704,2022-11-03,07:25:40,08:11:12,35.0,D10,1.0,0.0,COLF01,cockyBasmati4,02f16916c4a59777d1d6,"BOGOR TENGAH, BOGOR",45.53333333333333,179037.87562746956
705,2022-11-03,07:04:38,08:11:13,39.0,D01,0.13,0.0,COLF01,emptyPolenta0,22144f8c84bedafe7247,"SAWAN,SINGARAJA",66.58333333333334,90009.52584914959
706,2022-11-03,07:10:07,08:11:09,35.0,D09,1.0,26.0,COLF01,hushedBoa7,060b2dff6dd8e60b1e4c,"BOGOR TENGAH, BOGOR",61.03333333333334,235946.9352806834
707,2022-11-03,07:10:07,08:11:09,35.0,D09,1.0,3.0,COLF01,hushedBoa7,5812c7e0e357b7eab480,"BOGOR TENGAH, BOGOR",61.03333333333334,162278.26137794394
708,2022-11-03,07:44:55,08:11:13,41.0,D09,1.0,0.0,COLF01,pitifulSausage1,93174dd2f58c9a5bf79a,KADIA KOTAKENDARI,26.3,219433.09415684344
709,2022-11-03,07:10:07,08:11:09,35.0,D09,1.0,0.0,COLF01,hushedBoa7,f88d60bd7eac59d8d9ac,"BOGOR TENGAH, BOGOR",61.03333333333334,162735.26476326177
710,2022-11-03,07:34:44,08:11:06,16.0,D01,1.0,11.0,COLF01,brainyThrush2,76ead07611eddfa23fcb,"KOTA AGUNG PUSAT,TAN",36.36666666666667,145548.3346084306
711,2022-11-03,07:02:45,08:11:04,0.0,U12,3.5,0.0,COLF02,blissfulFish4,541fa65f0fcc580fef05,"MANDIRAJA,BANJARNEGA",68.31666666666666,175501.9743108951
713,2022-11-03,07:10:07,08:11:09,35.0,D09,1.0,6.0,COLF01,hushedBoa7,bd51306bbdec1bc60046,"BOGOR TENGAH, BOGOR",61.03333333333334,164783.37388433123
714,2022-11-03,07:45:46,08:11:15,0.0,D09,0.33,0.0,COLF01,empathicOryx7,0f29ebc82505eef6f9a8,"PATEBON,KENDAL",25.483333333333334,57236.752536097745
715,2022-11-03,07:24:53,08:11:15,48.0,D09,0.5,0.0,COLF01,yearningLizard8,a43a9c564844ae5df852,"LARANGAN , TANGERANG",46.36666666666667,110500.9071036169
716,2022-11-03,07:10:07,08:11:09,35.0,D09,1.0,26.0,COLF01,hushedBoa7,a9e642401b38e4dc60ed,"BOGOR TENGAH, BOGOR",61.03333333333334,235946.9352806834
